"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Agricultural methane emissions (% of total)","EN.ATM.METH.AG.ZS","","","","","","","","","","","7.81421030039674","7.66006558122809","7.51350582031861","7.37638819791023","7.25186175131417","7.1368728744082","6.95855804144777","6.86024705076641","6.54509894939719","6.41305105257498","6.31702351206149","6.18933535805329","6.07430067722162","5.99238385349234","5.86655468078772","5.73265496772068","5.78249982141771","5.59873522218585","5.50322899312953","5.37460693156412","5.27591004211266","5.17056899955672","5.03657262090423","4.88654600711184","4.74446764357789","4.62936978372004","4.7200796703098","3.72108537975283","4.61565336971463","4.56127918193154","4.43574634250725","4.34776216841972","4.23638194621078","4.14474147085406","4.0433990570689","3.96734967383466","3.87269388646373","3.76867035323936","3.68251178627075","","","","","","","","","","","",
"Afghanistan","AFG","Agricultural methane emissions (% of total)","EN.ATM.METH.AG.ZS","","","","","","","","","","","77.0732332635006","76.6494242566159","72.7575082886602","74.0168509610213","73.8694791828954","74.7964846218629","75.4968491826752","74.420668720537","74.3670065680964","74.1112359708966","71.8009675792249","71.7490533461921","71.4161563334267","69.5622839915209","65.9417206080958","63.8192150207339","59.2664795116408","63.601436630425","63.8128921219679","66.4751356306781","65.9226956393858","65.0405635016172","68.3561683845827","68.2935442362834","68.8524387425493","69.5316454721389","71.7526617779502","73.1257000866373","73.8812270155888","74.6658726141688","71.2095754689506","67.472554774367","69.3233435235172","68.6130608787632","67.2092781515581","66.0890971476598","64.8960821254462","63.7587489783654","62.6514427826658","","","","","","","","","","","",
"Angola","AGO","Agricultural methane emissions (% of total)","EN.ATM.METH.AG.ZS","","","","","","","","","","","71.906798500854","55.1977240182547","57.0961835904937","58.7090271209165","53.7268219160397","59.8746709583535","57.2033890612318","59.4195148890825","60.5895171473604","68.3027292638786","62.7478074118367","58.7589681289732","62.4623654109018","61.4839820862406","52.2164853478715","52.5628416212208","50.8305550375919","60.786123079853","47.3252027409358","51.4056086567943","63.4597800823011","56.847799669705","69.778917875018","51.5858629222564","57.624538575636","55.3784239176047","46.8177691801199","22.8621615084197","23.1683065586121","23.0496602996433","24.6530085552107","25.3883525746222","25.328390086669","25.577814555638","24.7698051122554","23.8577007708701","24.3040619267","23.7250621688627","23.0300717481842","","","","","","","","","","","",
"Albania","ALB","Agricultural methane emissions (% of total)","EN.ATM.METH.AG.ZS","","","","","","","","","","","55.974638084853","55.2165509480681","53.5566523004922","53.5594659657592","54.3029938084309","53.7092694980571","54.6671848577718","54.9900653402907","55.2737451205443","55.7804271175959","56.4110760780986","57.2573515298285","57.4975967615997","57.0322524360439","56.4437847853751","55.1421557181604","56.2487763716682","58.3461028336507","59.1975706051979","60.1593707949771","60.9012535565167","64.246395028872","67.0604578899904","69.2038317629337","72.831141271051","75.5129829438228","74.4868231105241","73.6305826130254","72.3617127924136","75.0488569650838","68.7974104286009","75.2860923842494","74.2060392119908","70.9991683360069","68.8797294637154","68.7564031488874","67.3387089132013","66.1800969096311","65.0061716392082","","","","","","","","","","","",
"Andorra","AND","Agricultural methane emissions (% of total)","EN.ATM.METH.AG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Agricultural methane emissions (% of total)","EN.ATM.METH.AG.ZS","","","","","","","","","","","30.5584884309546","29.4260798742871","27.5934264606189","25.2868428414684","24.8289339281504","26.4534359368105","23.8694786558754","24.9816139682278","24.7170924270638","25.3933354172321","27.816740202489","31.3119511197897","34.6344600943859","35.1304989455315","36.1210278275983","35.4340490833399","33.7235741670038","34.3442751703117","32.7552402635628","32.6999994899208","34.7086941153335","33.320495450925","33.7254627582564","33.4188659027518","33.2895461259237","33.2014006869358","32.6897511589667","32.5099596520396","32.0704235438687","32.718728092476","31.8176190352475","32.0889167773276","32.2909839763885","31.0358992968931","30.5423557046499","30.2753898490632","32.2264011351565","37.9486421853119","33.6347292003245","","","","","","","","","","","",
"United Arab Emirates","ARE","Agricultural methane emissions (% of total)","EN.ATM.METH.AG.ZS","","","","","","","","","","","1.21988903636718","1.01619517566636","0.928165157218088","0.800697144616522","0.726258053756132","0.609300609478889","0.326099928658815","0.422948810996302","0.450713835179449","0.654558433363288","0.746094127947518","0.982156323342354","1.15770308680541","1.30540181081021","1.13787325611539","1.25981480652391","1.55088161095226","1.73205404898428","1.96490142448448","1.88030298529901","1.95750891755539","1.94413333149367","2.01864886585707","2.19628639544059","2.22005852957578","2.1981248575123","2.1531237292543","2.28883282683098","2.40534940625567","2.59574937699672","2.54805174704438","2.74409737916232","2.79102108651217","2.77942639525576","2.67670885339695","2.65598568241107","2.51559764274361","2.44969835695668","2.45019213985326","","","","","","","","","","","",
"Argentina","ARG","Agricultural methane emissions (% of total)","EN.ATM.METH.AG.ZS","","","","","","","","","","","82.5394783854396","84.2590312831545","84.2363264098909","85.3577090755633","84.4068082685592","84.3226669899767","83.6169975293724","84.9682310590031","83.114397969102","82.3171147635888","81.5554752140949","81.7605760734005","80.7201488700988","80.1765317982181","80.2823547465207","79.5921131037816","78.4687335787728","76.913593750546","76.9685690007215","76.782039034554","76.6343215100679","76.3029509838326","75.6908700411916","74.4962366988493","74.8545697413478","72.9557299883918","71.7003343342147","70.3142317072154","69.9851324939519","73.47657291","72.2086669343135","72.3488910840034","72.5015846425397","71.9610162738152","71.1517079976186","71.7698342150248","71.7931612593945","73.5330144775618","73.469752338733","","","","","","","","","","","",
"Armenia","ARM","Agricultural methane emissions (% of total)","EN.ATM.METH.AG.ZS","","","","","","","","","","","73.6189861844491","73.4584172895404","72.7504341075534","71.8806362908054","71.3542674040993","71.1724727832923","71.0904965699334","71.7034989285036","73.4267818159359","74.9786802284564","76.427228371869","77.2677698979868","77.8468595997627","77.8326402431906","77.7667178479599","77.6745593734871","77.2280102807764","77.3900280600435","50.0945977281254","47.2316054079377","43.2748570652917","43.8857321851489","43.9002112962421","41.7756507148594","38.8375208947851","40.0556583409216","37.7530572079933","36.2785485243747","34.7933851659021","34.1004994414731","35.2076985893289","36.7409692591292","37.17794624529","37.2114705010484","38.0303370528969","36.689519582756","36.2249958606396","36.5958040696444","35.9109626875263","","","","","","","","","","","",
"American Samoa","ASM","Agricultural methane emissions (% of total)","EN.ATM.METH.AG.ZS","","","","","","","","","","","47.3884404166709","46.3936057918031","45.6369712081464","45.0724784222887","44.5063131148466","43.9832816292737","43.5492837715508","43.7335196577571","43.0710025897718","42.3143220304371","41.9065085924588","41.8619042464592","42.3132065338421","42.6234700697517","42.7783075550336","42.404817934588","41.7577905120751","41.2656022865464","40.586603202537","40.134220382301","33.7155593934674","32.6977995615693","31.8506551853214","31.1519953817135","30.525593264477","29.97401766097","29.4951098737782","29.087251984218","28.7876436945825","28.5025794153766","28.2412635215199","27.9132513897963","27.6001703617898","27.3187653793804","26.9824143633465","26.6126571337062","26.221994961765","25.592754016228","24.8072513227951","","","","","","","","","","","",
